MB845988,"FUZZY'S TACO SHOP                                 ","3351 TURNER PLZ STE 100-N                  ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      6696.92",     
MB169630,"GUITARS & CADILLACS                               ","3881 VINE ST                               ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","      5881.73",     
MB863880,"HILTON GARDEN INN - ABILENE                       ","4449 RIDGEMONT DR                          ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","       821.89",     
MB934293,"HOLIDAY INN ABILENE                               ","3525 W LAKE RD                             ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","         0.00",     
MB926397,"HOUR GLASS                                        ","1532 BUTTERNUT ST                          ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","      1401.91",     
MB762951,"JACK RABBIT SLIMS                                 ","833 US HIGHWAY 80 E                        ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","       632.14",     
MB762951,"JACK RABBIT SLIMS                                 ","833 US HIGHWAY 80 E                        ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","       632.14",     
MB762951,"JACK RABBIT SLIMS                                 ","833 US HIGHWAY 80 E                        ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","       632.14",     
MB936922,"LEGACY BAR                                        ","3450 S CLACK ST                            ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      1040.18",     
MB621143,"LOGAN'S ROADHOUSE                                 ","3126 S CLACK ST                            ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      1425.29",     
MB748531,"LONESTAR                                          ","541 ARNOLD BLVD                            ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","       715.56",     
MB415595,"LYTLE LAND & CATTLE CO                            ","1150 E SOUTH 11TH ST                       ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","      2548.95",     
MB723936,"MARTIN D DENSON VFW POST 6873                     ","1049 VETERANS DRIVE                        ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","      1443.65",     
MB827443,"MC SPORTS BAR AND TAQUERIA                        ","4025 N 1ST ST                              ","ABILENE             ","TX","79603 "," 221"," 2017/07 ","      2073.65",     
MB887649,"MIGUEL'S MEX TEX CAFE                             ","3001 S DANVILLE DR                         ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","      3583.16",     
MB887649,"MIGUEL'S MEX TEX CAFE                             ","3001 S DANVILLE DR                         ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","      3583.16",     
MB409136,"MY PLACE                                          ","5695 S 1ST ST                              ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","       632.08",     
MB858744,"NUEVA LUNA                                        ","1082 S 2ND ST                              ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","      1284.73",     
MB190122,"OLIVE GARDEN OF TEXAS #1065                       ","3210 S CLACK ST                            ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      1272.53",     
MB457521,"OUTBACK STEAKHOUSE                                ","4142 RIDGEMONT DR                          ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","      1732.96",     
NE162922,"PARRAMORE POST NO 57, THE AMERICAN LEGION, DEPART ","302 E SOUTH 11TH ST                        ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","       616.80",     
MB917558,"PT EVENT CENTER                                   ","5126 BRICK RD                              ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","         0.00",     
MB888801,"PUBLIC HAUS                                       ","173 PINE ST                                ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","      1198.03",     
MB859578,"R SPORTS BAR & GRILL                              ","2534 S TREADAWAY BLVD                      ","ABILENE             ","TX","79602 "," 221"," 2017/07 ","      2760.00",     
MB123077,"RED LOBSTER RESTAURANT #282                       ","1280 S CLACK ST                            ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","       882.46",     
MB949529,"RED ROBIN #445                                    ","3549 CATCLAW DR                            ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","       927.21",     
MB780540,"ROSA'S CAFE & TORTILLA FACTORY #20                ","1026 N JUDGE ELY BLVD                      ","ABILENE             ","TX","79601 "," 221"," 2017/07 ","       123.41",     
MB566646,"ROSA'S CAFE #21                                   ","3333 CATCLAW DR                            ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","       264.18",     
MB983835,"SHARON'S BARBEQUE & CATERING                      ","2050 ANTILLEY RD                           ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","         0.00",     
MB952841,"SHIRTS AND SKINS BAR & GRILL/LONGBRANCH           ","3525 N 6TH ST                              ","ABILENE             ","TX","79603 "," 221"," 2017/07 ","      1119.10",     
MB754782,"SHOOTERS                                          ","1021 N MOCKINGBIRD LN                      ","ABILENE             ","TX","79603 "," 221"," 2017/07 ","      1173.37",     
MB882380,"SPANKY P'S TAVERN                                 ","2442 S 7TH ST                              ","ABILENE             ","TX","79605 "," 221"," 2017/07 ","       943.23",     
MB769453,"TAMOLLY'S MEXICAN RESTAURANT OF TEXAS             ","4400 RIDGEMONT DR                          ","ABILENE             ","TX","79606 "," 221"," 2017/07 ","       380.89",     
