Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
32045326314,"FUZZY'S CANTINA, INC.",1640 CHASE OAKS DR,KELLER,TX,76248,220,1,FUZZYS TACO SHOP,265 E WASHINGTON ST,STEPHENVILLE,TX,76401,72,Y,N 798003,02/16/2012,,10/31/2017,$27846,$9,$18321,$0,$46176
32061900182,"PAULLRICK INVESTMENTS, INC.",3424 GREENOCK ST,EL PASO,TX,79925,71,1,RICKYD'S,10780 PEBBLE HILLS BLVD,EL PASO,TX,79935,71,Y,MB969752,01/20/2017,,10/31/2017,$0,$0,$0,$0,$0
32042594203,"CJ LIN, INC.",4539 SUMMER LKS,SUGAR LAND,TX,77479,79,1,KEEPER'S JAPANESE RESTAURANT & BAR,4654 HIGHWAY 6,SUGAR LAND,TX,77478,79,Y,MB771347,03/29/2011,,10/31/2017,$14685,$13730,$4839,$0,$33254
32041197198,EL PIQIN SABORES MEJICANOS LLC,2100 W SAN MARCELO BLVD APT 105,BROWNSVILLE,TX,78526,31,1,EL PIQIN SABORES MEJICANOS,1773 CENTRAL BLVD,BROWNSVILLE,TX,78520,31,Y,MB744441,03/19/2010,,10/31/2017,$9712,$94,$5714,$0,$15520
32042691546,"THE GRACKLE ATX, LLC",1307 CRESTWOOD RD,AUSTIN,TX,78722,227,1,THE GRACKLE,1700 E 6TH ST,AUSTIN,TX,78702,227,Y,MB763682,12/15/2010,,10/31/2017,$35924,$133,$28211,$0,$64268
32058269898,BYRD AND MIKE LLC,100 W CHESTNUT ST,DENISON,TX,75021,91,1,BYRD & MIKES CHESTNUT ST PUB & GRILL,100 W CHESTNUT ST,DENISON,TX,75021,91,Y,MB930988,01/05/2016,,10/31/2017,$7426,$163,$9485,$0,$17074
17606246944,"ARANA, LLC",13719 NAOMI HOLLOW LN,HOUSTON,TX,77082,101,1,INDIA'S RESTAURANT,5704 RICHMOND AVE,HOUSTON,TX,77057,101,Y,MB500990,09/18/2001,,10/31/2017,$2250,$3571,$2285,$0,$8106
32063267382,"HAMILTON PN, L.L.C.",8460 CENTRAL MALL DR,PORT ARTHUR,TX,77642,123,1,HAMILTON'S RESTAURANT & BAR,8460 CENTRAL MALL DR,PORT ARTHUR,TX,77642,123,Y,RM980864,05/04/2017,,10/31/2017,$3880,$362,$3330,$0,$7572
32063341120,3102 ENTERTAINMENT LLC,PO BOX 15556,HUMBLE,TX,77347,101,1,CHAPA CORPUS CHRISTI,3102 BALDWIN BLVD,CORPUS CHRISTI,TX,78405,178,Y,MB987940,07/12/2017,,10/31/2017,$0,$0,$0,$0,$0
32041473045,"PYA TEXAS HOLDINGS, LLC",7030 TIMBER POST LN,HUMBLE,TX,77346,101,1,TIME OUT TAVERN,7540 FM 1960 RD E,HUMBLE,TX,77346,101,Y,MB749757,06/08/2010,,10/31/2017,$52459,$4569,$44714,$0,$101742
30001577797,T. C. SELMAN POST NO. 8576 OF THE VETERANS OF FORE,238 JOHNSON COOK RD,CLUTE,TX,77531,20,2,T.C. SELMAN POST NO. 8576 OF THE VFW,238 JOHNSON COOK RD,CLUTE,TX,77531,20,Y,NE240750,12/01/1993,,10/31/2017,$3842,$35,$6768,$0,$10645
32052063941,REPUBLIC ICEHOUSE LLC,15562 EASTSIDE RD,TYLER,TX,75707,212,1,REPUBLIC ICEHOUSE,3807 UNIVERSITY BLVD,TYLER,TX,75701,212,Y,RM872941,05/21/2014,,10/31/2017,$17183,$1632,$17271,$0,$36086
32052415281,"NINE SUGARS, LLC",1401 W 6TH ST,AUSTIN,TX,78703,227,1,NIGHTCAP,1401 W 6TH ST,AUSTIN,TX,78703,227,Y,MB886171,10/06/2014,,10/31/2017,$12782,$12547,$1276,$0,$26605
12714639221,"SUNSET BAR & GRILL, LLC",PO BOX 1434,EDINBURG,TX,78540,108,2,LA HACIENDA,200 W TARPON ST,SOUTH PADRE ISLAND,TX,78597,31,Y,MB744301,01/04/2016,,10/31/2017,$0,$0,$0,$0,$0
32048539103,JFLOW CONCEPTS LLC,1719 LONGHORN DR,HOUSTON,TX,77080,101,2,LITTLE J'S BAR,5306 WASHINGTON AVE STE C,HOUSTON,TX,77007,101,Y,MB831546,08/12/2014,,10/31/2017,$0,$0,$0,$0,$0
32051422031,"THE REPUBLIC OF TEXAS SPORTS BAR AND GRILL, INC.",1308 JENNINGS CT,PROSPER,TX,75078,61,1,"THE REPUBLIC OF TEXAS SPORTS BAR AND GRILL, INC.",803 COLLEGE AVE,LEVELLAND,TX,79336,110,Y,N 890699,11/18/2014,,10/31/2017,$3781,$0,$16194,$0,$19975
17412075842,CORPUS CHRISTI YACHT CLUB,98 COOPERS ALY,CORPUS CHRISTI,TX,78401,178,2,CORUS CHRISTI YACHT CLUB,98 COOPERS ALLEY,CORPUS CHRISTI,TX,78401,178,Y,MB232261,12/01/1993,,10/31/2017,$14717,$19254,$2089,$0,$36060
32057665500,"CANE ROSSO MONTROSE, LLC",1733 E LEVEE ST,DALLAS,TX,75207,57,1,CANE ROSSO,4306 YOAKUM BLVD,HOUSTON,TX,77006,101,Y,MB955150,08/18/2016,,10/31/2017,$7365,$9811,$4963,$0,$22139
17526004274,"LAS RANITAS, INC.",325 E JEFFERSON BLVD,DALLAS,TX,75203,57,6,LAS RANITAS / LOS SAPITOS,325 E JEFFERSON BLVD,DALLAS,TX,75203,57,Y,MB559750,05/11/2017,,10/31/2017,$9165,$0,$18679,$0,$27844
32062889863,SINCLAIR RESTAURANT LLC,215 W 3RD ST,CLIFTON,TX,76634,18,1,SINCLAIR,215 W 3RD ST,CLIFTON,TX,76634,18,Y,MB981620,05/10/2017,,10/31/2017,$4211,$5955,$922,$0,$11088
32059580467,"CANTINA DEL SOL, LLC",801 S WARE RD,MCALLEN,TX,78501,108,1,CANTINA DEL SOL,801 S. WARE ROAD,MCALLEN,TX,78501,108,Y,MB943937,05/11/2016,,10/31/2017,$2439,$64,$2277,$0,$4780
17423836943,"MERCADO MARKET & RESTAURANT, INC.",1700 LAVACA ST,AUSTIN,TX,78701,227,1,EL MERCADO MARKET & RESTAURANT,1302 S 1ST ST,AUSTIN,TX,78704,227,Y,MB180507,12/01/1993,,10/31/2017,$35984,$2284,$8211,$0,$46479
32050858805,THE GRAPE TASTE OF LAKE JACKSON LLC,107 WEDGEWOOD ST,LAKE JACKSON,TX,77566,20,1,THE GRAPE TASTE OF LAKE JACKSON,145 OYSTER CREEK DR STE 10,LAKE JACKSON,TX,77566,20,Y,RM849964,08/26/2013,,10/31/2017,$3603,$13185,$1147,$0,$17935
17524299843,TEXAS-OHIO CORPORATION,15721 CUTTYSARK ST,CORPUS CHRISTI,TX,78418,178,1,NEW WEST,6532 E NORTHWEST HWY,DALLAS,TX,75231,57,Y,MB231989,12/01/1993,,10/31/2017,$56521,$130,$63544,$0,$120195
32053113711,"5555 MORNINGSIDE, LLC",1225 NORTH LOOP W STE 640,HOUSTON,TX,77008,101,1,THE GORGEOUS GAEL,5555 MORNINGSIDE DR STE 100,HOUSTON,TX,77005,101,Y,MB923894,10/16/2015,,10/31/2017,$47729,$8443,$61078,$0,$117250
32051659350,OLD BLUFF CLUB,147 DUNHAM RANCH RD,SULPHUR BLUFF,TX,75481,112,1,HAGEMAN RESERVE,12469 FARM ROAD 71 E,SULPHUR BLUFF,TX,75481,112,N,N 884579,09/18/2014,,10/31/2017,$0,$0,$0,$0,$0
17527372688,"DANAMSA, INC.",3205 HEMPHILL ST,FORT WORTH,TX,76110,220,1,LA PLAYA MAYA-NORTHSIDE,1540 N MAIN ST,FORT WORTH,TX,76106,220,Y,MB428435,03/17/1998,,10/31/2017,$5729,$256,$3389,$0,$9374
32043962177,LAS MANANITAS MEXICAN  RESTAURANT # 3 INC,15202 MASON RD STE 100,CYPRESS,TX,77433,101,1,LAS MANANITAS MEXICAN RESTAURANT # 3 INC,15202 MASON RD STE 100,CYPRESS,TX,77433,101,Y,MB780261,07/20/2011,,10/31/2017,$21809,$439,$4043,$0,$26291
