"MB936922    ","LEGACY BAR                    ","3450 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2017/08", 000000743.29
"MB621143    ","LOGAN'S ROADHOUSE             ","3126 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2017/08", 000001287.27
"MB748531    ","LONESTAR                      ","541 ARNOLD BLVD               ","ABILENE             ","TX","79605","221","          ","2017/08", 000000756.89
"MB415595    ","LYTLE LAND & CATTLE CO        ","1150 E SOUTH 11TH ST          ","ABILENE             ","TX","79602","221","          ","2017/08", 000002566.30
"MB723936    ","MARTIN D DENSON VFW POST 6873 ","1049 VETERANS DRIVE           ","ABILENE             ","TX","79605","221","          ","2017/08", 000001251.42
"MB827443    ","MC SPORTS BAR AND TAQUERIA    ","4025 N 1ST ST                 ","ABILENE             ","TX","79603","221","          ","2017/08", 000001807.92
"MB887649    ","MIGUEL'S MEX TEX CAFE         ","3001 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2017/08", 000002996.77
"MB409136    ","MY PLACE                      ","5695 S 1ST ST                 ","ABILENE             ","TX","79605","221","          ","2017/08", 000000770.63
"MB858744    ","NUEVA LUNA                    ","1082 S 2ND ST                 ","ABILENE             ","TX","79602","221","          ","2017/08", 000001522.57
"MB190122    ","OLIVE GARDEN OF TEXAS #1065   ","3210 S CLACK ST               ","ABILENE             ","TX","79606","221","          ","2017/08", 000001376.71
"MB457521    ","OUTBACK STEAKHOUSE            ","4142 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2017/08", 000001698.04
"NE162922    ","PARRAMORE POST NO 57, THE AMER","302 E SOUTH 11TH ST           ","ABILENE             ","TX","79602","221","          ","2017/08", 000000643.26
"MB917558    ","PT EVENT CENTER               ","5126 BRICK RD                 ","ABILENE             ","TX","79601","221","          ","2017/08", 000000040.60
"MB888801    ","PUBLIC HAUS                   ","173 PINE ST                   ","ABILENE             ","TX","79601","221","          ","2017/07", 000001198.02
"MB888801    ","PUBLIC HAUS                   ","173 PINE ST                   ","ABILENE             ","TX","79601","221","          ","2017/08", 000001069.58
"MB859578    ","R SPORTS BAR & GRILL          ","2534 S TREADAWAY BLVD         ","ABILENE             ","TX","79602","221","          ","2017/08", 000003247.35
"MB123077    ","RED LOBSTER RESTAURANT #282   ","1280 S CLACK ST               ","ABILENE             ","TX","79605","221","          ","2017/08", 000000863.02
"MB949529    ","RED ROBIN #445                ","3549 CATCLAW DR               ","ABILENE             ","TX","79606","221","          ","2017/08", 000000927.21
"MB780540    ","ROSA'S CAFE & TORTILLA FACTORY","1026 N JUDGE ELY BLVD         ","ABILENE             ","TX","79601","221","          ","2017/08", 000000114.97
"MB566646    ","ROSA'S CAFE #21               ","3333 CATCLAW DR               ","ABILENE             ","TX","79606","221","          ","2017/08", 000000215.94
"MB983835    ","SHARON'S BARBEQUE & CATERING  ","2050 ANTILLEY RD              ","ABILENE             ","TX","79606","221","          ","2017/08", 000000318.18
"MB952841    ","SHIRTS AND SKINS BAR & GRILL/L","3525 N 6TH ST                 ","ABILENE             ","TX","79603","221","          ","2017/08", 000001195.07
"MB754782    ","SHOOTERS                      ","1021 N MOCKINGBIRD LN         ","ABILENE             ","TX","79603","221","          ","2017/08", 000001222.95
"MB882380    ","SPANKY P'S TAVERN             ","2442 S 7TH ST                 ","ABILENE             ","TX","79605","221","          ","2017/08", 000001205.66
"MB769453    ","TAMOLLY'S MEXICAN RESTAURANT O","4400 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2017/08", 000000310.27
"MB881842    ","TAYLOR COUNTY TAPHOUSE        ","4002 CATCLAW DR               ","ABILENE             ","TX","79606","221","          ","2017/08", 000003784.96
"MB438322    ","TEXAS ROADHOUSE               ","1381 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2017/08", 000002805.08
"MB882685    ","THE STATION                   ","4201 N 1ST ST STE R           ","ABILENE             ","TX","79603","221","          ","2017/08", 000001133.50
"MB858286    ","THE UGLY LIME TEQUILA BAR     ","4109 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2017/08", 000002245.57
"MB961669    ","THE ZONE GRILL & BAR          ","4638 S 14TH ST                ","ABILENE             ","TX","79605","221","          ","2017/08", 000002597.92
"RM842809    ","TOKYO ASIA FUSION             ","1441 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2017/08", 000000138.42
"MB463859    ","TRAVEL INN                    ","2202 W OVERLAND TRL           ","ABILENE             ","TX","79603","221","          ","2017/08", 000000000.00
"MB242534    ","UPSTAIRS CLUB                 ","141 1/2 OAK ST                ","ABILENE             ","TX","79602","221","          ","2017/08", 000000000.00
"MB612191    ","WAREHOUSE DEPOT COMPANY       ","357 WALNUT ST                 ","ABILENE             ","TX","79601","221","          ","2017/06", 000000000.00
"MB832269    ","WESTERN EDGE                  ","1841 S TREADAWAY BLVD         ","ABILENE             ","TX","79602","221","          ","2017/08", 000002290.06
"MB962044    ","XGOLF                         ","2565 S DANVILLE DR            ","ABILENE             ","TX","79605","221","          ","2017/08", 000000861.35
"MB607243    ","304 LICENSING                 ","4250 RIDGEMONT DR             ","ABILENE             ","TX","79606","221","          ","2017/08", 000001777.30
"RM869939    ","DON MELQUIAS MEXICAN RESTAURAN","5675 N GATE RD                ","ACTON               ","TX","76049","111","          ","2017/08", 000000366.82
"N 798935    ","THE BACK PORCH SPORTS GRILL   ","3132 FALL CREEK HWY           ","ACTON               ","TX","76049","111","          ","2017/08", 000001163.52
"MB562904    ","ADDISON BLUE GOOSE            ","14920 MIDWAY RD               ","ADDISON             ","TX","75001","057","          ","2017/08", 000002761.07
"MB435278    ","ADDISON CAFE                  ","5290 BELT LINE RD STE 108     ","ADDISON             ","TX","75240","057","          ","2017/08", 000000159.79
"MB684820    ","AL-AMIR RESTAURANT            ","3885 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000003258.21
"MB886137    ","AMC THEATRES VILLAGE PARKWAY 9","5100 BELT LINE RD STE 220     ","ADDISON             ","TX","75254","057","          ","2017/08", 000001175.31
"MB935012    ","ANDIAMO ITALIAN BAR & GRILL   ","4151 BELT LINE RD STE 101     ","ADDISON             ","TX","75001","057","          ","2017/08", 000000892.10
"MB903983    ","APPENNINO DALLAS LLC          ","4985 ADDISON CIR              ","ADDISON             ","TX","75001","057","          ","2017/08", 000002984.58
"MB875153    ","ARTHURS                       ","15175 QUORUM DR               ","ADDISON             ","TX","75001","057","          ","2017/08", 000004553.52
"MB875671    ","ASTORIA                       ","15701 QUORUM DR               ","ADDISON             ","TX","75001","057","          ","2017/08", 000000579.68
"MB780508    ","AZURE RESTAURANT & BAR        ","4080 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000002523.89
"MB628134    ","BANGKOK THAI RESTAURANT       ","5290 BELT LINE RD STE 144     ","ADDISON             ","TX","75254","057","          ","2017/08", 000000166.49
"MB532081    ","BJ'S RESTAURANT & BREWHOUSE   ","4901 BELT LINE RD             ","ADDISON             ","TX","75254","057","          ","2017/08", 000005160.67
"MB269105    ","BLUE MESA GRILL               ","14866 MONTFORT DR             ","ADDISON             ","TX","75254","057","          ","2017/08", 000002910.68
"MB447769    ","BOWLMOR DALLAS                ","3805 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000002412.06
"MB559755    ","BUFFALO WILD WINGS            ","5000 BELT LINE RD STE 100     ","ADDISON             ","TX","75254","057","          ","2017/08", 000003509.05
"MB239449    ","CABANA BEVERAGES INC          ","15120 MARSH LN                ","ADDISON             ","TX","75001","057","          ","2017/08", 000000165.08
"MB225474    ","CAFE GECKO                    ","5290 BELT LINE RD STE 118     ","ADDISON             ","TX","75240","057","          ","2017/08", 000004301.53
"MB103781    ","CANTINA LAREDO                ","4546 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/07", 000001737.77
"MB498757    ","CHAMBERLAIN FISH MARKET GRILL ","15280 ADDISON RD STE 300      ","ADDISON             ","TX","75001","057","          ","2017/08", 000005774.79
"MB238120    ","CHAMBERLAIN'S PRIME CHOP HOUSE","5330 BELT LINE RD             ","ADDISON             ","TX","75254","057","          ","2017/08", 000013179.57
"MB167017    ","CHILI'S GRILL & BAR           ","4500 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000001312.26
"MB487140    ","CHIPOTLE MEXICAN GRILL        ","3771 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000000036.31
"MB616180    ","CHIPOTLE MEXICAN GRILL        ","5290 BELT LINE RD STE 102A    ","ADDISON             ","TX","75254","057","          ","2017/08", 000000045.82
"MB862309    ","CHUY'S                        ","4440 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000005385.72
"MB786688    ","CINCO TACOS COCINA & TEQUILA  ","5000 BELT LINE RD STE 850     ","ADDISON             ","TX","75254","057","          ","2017/08", 000002312.50
"MB726778    ","COLONNADE EXECUTIVE LOUNGE    ","15305 DALLAS PKWY STE 125     ","ADDISON             ","TX","75001","057","          ","2017/08", 000000751.27
"MB904726    ","COURTYARD ADDISON QUORUM      ","15160 QUORUM DR               ","ADDISON             ","TX","75001","057","          ","2017/08", 000000521.46
"MB845479    ","COURTYARD BY MARRIOT          ","4165 PROTON DR                ","ADDISON             ","TX","75001","057","          ","2017/08", 000000256.74
"MB768960    ","CROWNE PLAZA HOTEL            ","14315 MIDWAY RD               ","ADDISON             ","TX","75001","057","          ","2017/08", 000003280.92
"MB876652    ","DUKES ICE HOUSE               ","16101 ADDISON RD              ","ADDISON             ","TX","75001","057","          ","2017/08", 000002828.94
"MB128494    ","EL FENIX-ADDISON              ","5280 BELT LINE RD             ","ADDISON             ","TX","75254","057","          ","2017/08", 000000000.00
"MB249479    ","FERRARI'S VILLA               ","14831 MIDWAY RD               ","ADDISON             ","TX","75001","057","          ","2017/08", 000001283.65
"MB840486    ","FLAVORS AUTHENTIC INDIAN CUISI","4101 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000000000.00
"MB435096    ","FOGO DE CHAO                  ","4300 BELT LINE RD             ","ADDISON             ","TX","75001","057","          ","2017/08", 000004110.98
"MB959525    ","FUSION BISTRO LLC             ","4950 BELT LINE RD STE 190     ","ADDISON             ","TX","75254","057","          ","2017/07", 000000077.65
